Date,Onion Type,Price1,Wholesale_Pettah,Price3,Wholesale_Dambulla,Price5,Retail_Pettah,Price7,Retail_Dambulla
12/22/2023,Red Onion (Local),500.00,500.00,300.00,315.00,550.00,550.00,320.00,335.00
12/22/2023,Red Onion (lmp),420.00,410.00,445.00,410.00,n.a.,n.a.,465.00,430.00
12/22/2023,Big Onion (Local),n.a.,n.a.,515.00,n.a.,n.a.,n.a.,535.00,n.a.
12/22/2023,Big Onion (Imp),475.00,418.00,435.00,425.00,525.00,450.00,455.00,445.00
12/21/2023,Red Onion (Local),500.00,500.00,395.00,300.00,550.00,550.00,415.00,320.00
12/21/2023,Red Onion (lmp),407.00,420.00,435.00,445.00,n.a.,n.a.,455.00,465.00
12/21/2023,Big Onion (Local),n.a.,n.a.,n.a.,515.00,n.a.,n.a.,n.a.,535.00
12/21/2023,Big Onion (Imp),492.00,475.00,425.00,435.00,525.00,525.00,445.00,455.00
12/20/2023,Red Onion (Local),500.00,500.00,375.00,395.00,550.00,550.00,395.00,415.00
12/20/2023,Red Onion (lmp),415.00,407.00,445.00,435.00,n.a.,n.a.,465.00,455.00
12/20/2023,Big Onion (Local),n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
12/20/2023,Big Onion (Imp),483.00,492.00,390.00,425.00,525.00,525.00,410.00,445.00
12/19/2023,Red Onion (Local),450.00,500.00,365.00,375.00,500.00,550.00,385.00,395.00
12/19/2023,Red Onion (lmp),410.00,415.00,375.00,445.00,n.a.,n.a.,395.00,465.00
12/19/2023,Big Onion (Local),n.a.,n.a.,365.00,n.a.,n.a.,n.a.,385.00,n.a.
12/19/2023,Big Onion (Imp),428.00,483.00,415.00,390.00,460.00,525.00,435.00,410.00
12/18/2023,Red Onion (Local),450.00,450.00,285.00,365.00,500.00,500.00,305.00,385.00
12/18/2023,Red Onion (lmp),450.00,410.00,415.00,375.00,n.a.,n.a.,435.00,395.00
