Date,Onion Type,Wholesale_Pettah,Wholesale_Dambulla,Retail_Pettah,Retail_Dambulla
2021-01-01,Big Onion (Imp),79.0,88.0,130.0,98.0
2021-01-04,Big Onion (Imp),72.0,73.0,130.0,83.0
2021-01-05,Big Onion (Imp),69.0,88.0,130.0,98.0
2021-01-06,Big Onion (Imp),73.0,53.0,130.0,63.0
2021-01-07,Big Onion (Imp),63.0,98.0,130.0,108.0
2021-01-08,Big Onion (Imp),75.0,63.0,130.0,73.0
2021-01-11,Big Onion (Imp),84.0,88.0,130.0,98.0
2021-01-12,Big Onion (Imp),83.0,88.0,130.0,98.0
2021-01-13,Big Onion (Imp),90.0,95.0,130.0,105.0
2021-01-15,Big Onion (Imp),100.0,90.0,130.0,100.0
2021-01-18,Big Onion (Imp),86.0,48.0,130.0,58.0
2021-01-19,Big Onion (Imp),80.0,78.0,130.0,88.0
2021-01-20,Big Onion (Imp),85.0,78.0,130.0,90.0
2021-01-21,Big Onion (Imp),75.0,63.0,130.0,73.0
2021-01-22,Big Onion (Imp),85.0,63.0,130.0,73.0
2021-01-25,Big Onion (Imp),86.0,108.0,130.0,118.0
2021-01-26,Big Onion (Imp),91.0,83.0,130.0,93.0
2021-01-27,Big Onion (Imp),100.0,83.0,130.0,93.0
2021-01-29,Big Onion (Imp),86.0,73.0,130.0,83.0
2021-02-01,Big Onion (Imp),85.0,68.0,130.0,88.0
2021-02-02,Big Onion (Imp),85.0,98.0,130.0,108.0
2021-02-03,Big Onion (Imp),90.0,93.0,130.0,103.0
2021-02-05,Big Onion (Imp),96.0,103.0,130.0,113.0
2021-02-08,Big Onion (Imp),85.0,68.0,130.0,78.0
2021-02-09,Big Onion (Imp),110.0,93.0,130.0,103.0
2021-02-10,Big Onion (Imp),106.0,93.0,130.0,103.0
2021-02-11,Big Onion (Imp),110.0,93.0,130.0,103.0
2021-02-12,Big Onion (Imp),110.0,108.0,130.0,118.0
2021-02-15,Big Onion (Imp),107.0,133.0,130.0,143.0
2021-02-16,Big Onion (Imp),103.0,93.0,130.0,103.0
2021-02-17,Big Onion (Imp),105.0,93.0,128.0,103.0
2021-02-18,Big Onion (Imp),90.0,70.0,105.0,80.0
2021-02-19,Big Onion (Imp),113.0,98.0,123.0,108.0
2021-02-22,Big Onion (Imp),125.0,108.0,130.0,118.0
2021-02-23,Big Onion (Imp),120.0,103.0,130.0,113.0
2021-02-24,Big Onion (Imp),140.0,118.0,143.0,128.0
2021-02-25,Big Onion (Imp),130.0,125.0,153.0,135.0
2021-03-01,Big Onion (Imp),145.0,163.0,160.0,173.0
2021-03-02,Big Onion (Imp),125.0,148.0,154.0,158.0
2021-03-03,Big Onion (Imp),138.0,98.0,150.0,108.0
2021-03-04,Big Onion (Imp),110.0,110.0,140.0,120.0
2021-03-05,Big Onion (Imp),118.0,88.0,140.0,98.0
2021-03-08,Big Onion (Imp),95.0,83.0,127.0,98.0
2021-03-09,Big Onion (Imp),93.0,75.0,113.0,85.0
2021-03-10,Big Onion (Imp),107.0,83.0,140.0,93.0
2021-03-12,Big Onion (Imp),66.0,58.0,85.0,68.0
2021-03-15,Big Onion (Imp),75.0,78.0,85.0,88.0
2021-03-16,Big Onion (Imp),73.0,75.0,88.0,85.0
2021-03-17,Big Onion (Imp),71.0,58.0,93.0,68.0
2021-03-18,Big Onion (Imp),71.0,53.0,90.0,63.0
2021-03-19,Big Onion (Imp),68.0,78.0,83.0,88.0
2021-03-22,Big Onion (Imp),66.0,60.0,81.0,70.0
2021-03-23,Big Onion (Imp),61.0,63.0,85.0,73.0
2021-03-24,Big Onion (Imp),60.0,74.0,75.0,84.0
